Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Elemental Bond,TDC,Tarkir: Dragonstorm Commander,254,normal,uncommon,1,104801,8efbc925-54ac-4dda-82af-9091b1cf2fda,4.99,false,false,near_mint,en,USD
Garruk's Uprising,FDN,Foundations,220,normal,uncommon,1,100447,4805c303-e73b-443b-a09f-49d2c2c88bb5,1.79,false,false,near_mint,en,USD
Crucible of Fire,IMA,Iconic Masters,122,normal,rare,1,3503,d7a6f4dd-29c9-4084-a622-098b197a6eb7,1.29,false,false,near_mint,en,USD
Fires of Yavimaya,CNS,Conspiracy,188,normal,uncommon,1,14232,33283200-3d1a-41be-ad22-9fc7d56cff66,0.79,false,false,near_mint,en,USD
Dragon Tempest,IMA,Iconic Masters,125,normal,uncommon,1,3500,f1933d08-07fe-45ea-9b60-d9afb98d5753,6.49,false,false,near_mint,en,USD
Frontier Siege,TDC,Tarkir: Dragonstorm Commander,256,normal,rare,1,105051,f419710e-3a73-4db0-bf2e-e76730f22c4d,0.49,false,false,near_mint,en,USD
Mountain,FRF,Fate Reforged,183,normal,common,17,11943,a7d5cb40-7365-492b-a3bc-4a624f78cec4,0.39,false,false,near_mint,en,USD
Timber Gorge,M19,Core Set 2019,258,normal,common,1,1054,07076412-18fe-4e15-bdb5-17111b4a66db,0.35,false,false,near_mint,en,USD
Rugged Highlands,NEO,Kamigawa: Neon Dynasty,273,normal,common,1,66877,58d511be-60e0-4755-abec-18eebb530605,0.35,false,false,near_mint,en,USD
Game Trail,BLC,Bloomburrow Commander,306,normal,rare,1,96503,e42e3260-33d7-4cee-8cac-61ed006abf3e,0.49,false,false,near_mint,en,USD
Kazandu Refuge,C19,Commander 2019,256,normal,uncommon,1,45678,6ca097f1-eef0-4e18-ab5d-49bb4aeb74e2,0.35,false,false,near_mint,en,USD
Cinder Glade,TDC,Tarkir: Dragonstorm Commander,350,normal,rare,1,104991,d78f519f-28f7-4e53-9cb1-1a83577c1669,0.59,false,false,near_mint,en,USD
Command Tower,LCC,The Lost Caverns of Ixalan Commander,325,normal,common,1,88927,d477d733-2360-4f1d-9ecd-cdedc2e8a7ae,0.49,false,false,near_mint,en,USD
Temple of Abandon,TDC,Tarkir: Dragonstorm Commander,400,normal,rare,1,104979,d2ce0759-6b24-41a6-8a24-16cf44dfc162,0.49,false,false,near_mint,en,USD
Haven of the Spirit Dragon,TDC,Tarkir: Dragonstorm Commander,370,normal,rare,1,104973,d0c552da-874e-49eb-b221-47220b8b7786,1.49,false,false,near_mint,en,USD
Shivan Oasis,DDE,Duel Decks: Phyrexia vs. the Coalition,65,normal,uncommon,1,21976,6d11de19-fb40-4dc6-ad61-3b7e95163c0b,0.35,false,false,near_mint,en,USD
Forest,DTK,Dragons of Tarkir,264,normal,common,12,11550,67becef5-cd70-4fe9-b8a3-1bff2ea04ab4,0.39,false,false,near_mint,en,USD
Twin Bolt,TDM,Tarkir: Dragonstorm,128,normal,common,2,105137,688d8e93-d071-4089-9ef9-565ac4ae9ae0,0.35,false,false,near_mint,en,USD
